nome_istituzione;provincia;tipo;email_istituzionale;pec;sito_web;linkedin;social;numero_telefono
"""G. SALERNO""";Palermo;statale;pais01700b@istruzione.it;pais01700b@pec.istruzione.it;https://www.isisgangi.edu.it/;NON PRESENTE;https://www.facebook.com/IstitutoGSalernoGangi;+39 0921 501229
A. VOLTA;Palermo;statale;pais027002@istruzione.it;pais027002@pec.istruzione.it;https://iissvolta.edu.it/;NON PRESENTE;https://www.instagram.com/iissvolta/;091 6494211
ALBERT EINSTEIN;Palermo;statale;paps05000c@istruzione.it;paps05000c@pec.istruzione.it;https://www.liceoeinstein.edu.it/;NON PRESENTE;https://www.facebook.com/LiceoEinsteinPalermo;091 682 3640
BENEDETTO CROCE;Palermo;statale;paps100008@istruzione.it;paps100008@pec.istruzione.it;https://www.liceocroce.edu.it/;NON PRESENTE;https://www.facebook.com/liceoscientificostatalebenedettocroce/?locale=it_IT; 0916512200
COLLEGIO DI MARIA AL CAPO;Palermo;paritaria;collegiocapo@libero.it;collegiocapo@certificazioneposta.it;https://collegiocapo.blogspot.com/;NON PRESENTE;https://www.facebook.com/p/Scuola-Paritaria-Collegio-di-Maria-al-Capo-100038684276383/?locale=it_IT;091 587728
COLLEGIO DI MARIA LA PURITA;Palermo;paritaria;ic@collegiodimarialapurita.it;collegio_lapurita@pec.it;http://www.collegiodimarialapurita.it/;NON PRESENTE;https://www.facebook.com/CollegioDiMariaLaPurita/;091 688 6835
COLLESANO;Palermo;statale;paic8bd00a@istruzione.it;paic8bd00a@pec.istruzione.it;https://www.istitutocomprensivocollesano.edu.it/;NON PRESENTE;NON PRESENTE;0921660221 
CUORE IMMACOLATO DI MARIA;Palermo;paritaria;NON PRESENTE;NON PRESENTE;https://www.scuolacimpalermo.it/;NON PRESENTE;https://www.facebook.com/scuolacimpalermo;091 422006
DON CALOGERO DI VINCENTI;Palermo;statale;pais01400x@istruzione.it;pais01400x@pec.istruzione.it;https://www.istitutosuperiorebisacquino.edu.it/;NON PRESENTE;https://www.facebook.com/p/IISS-Don-Calogero-di-Vincenti-Bisacquino-100054329060119/?locale=it_IT;091 835 1279
ERNESTO BASILE;Palermo;statale;paps060003@istruzione.it;paps060003@pec.istruzione.it;https://www.liceobasile.it/;NON PRESENTE;https://www.facebook.com/liceoscientificobasile;091 630 2800
F. FERRARA;Palermo;statale;pais02300p@istruzione.it;pais02300p@pec.istruzione.it;https://www.iissferrara.edu.it/;NON PRESENTE;https://www.facebook.com/www.iissfrancescoferrara.it;091 332721
F.PAOLO CASCINO (EX III ALBERGH);Palermo;statale;pais041008@istruzione.it;pais041008@pec.istruzione.it;https://www.alberghierocascino.edu.it/;NON PRESENTE;https://www.facebook.com/alberghierocascino/?locale=it_IT;091 670 1243
FIABA_;Palermo;paritaria;NON PRESENTE;NON PRESENTE;http://www.istitutofiaba.it/;NON PRESENTE;https://www.facebook.com/unmetodoxcrescere/;091 688 5967
FINOCCHIARO APRILE;Palermo;statale;papm010003@istruzione.it;papm010003@pec.istruzione.it;https://www.istitutofinocchiaroaprile.edu.it/;NON PRESENTE;https://www.facebook.com/liceofinocchiaroaprile/?locale=it_IT;091 343509
GALILEI;Palermo;statale;paps010002@istruzione.it;paps010002@pec.istruzione.it;http://www.liceoggalileipalermo.it/;NON PRESENTE;https://www.facebook.com/LiceoGalileiPalermo;091 515231
GARIBALDI;Palermo;statale;papc04000p@istruzione.it;papc04000p@pec.istruzione.it;http://www.liceogaribaldi.it/;https://it.linkedin.com/in/liceo-classico-garibaldi-palermo-51a2b6215;https://www.facebook.com/LiceoGaribaldiPalermo/;091 589624
